% Model,GRIN_Paper_Design_Unit_Cells_200127.mph
% Version,COMSOL 5.4.0.388
% Date,"Feb 16 2020, 18:45"
% Table,"Table 4 - Global Evaluation 1 (T_mag, R_mag, T_Phase, R_Phase, T, R)"
% Pillar_a (mm),freq (Hz),T_mag (1),R_mag (1),T_Phase (deg),R_Phase (deg),T (1),R (1)
1.3000000000000003,2100,0.9981379195596372,0.01975415981308503,-29.311260528229592,69.06652120005992,0.8703493916372351-0.4886422443255755i,0.0070578414486953305+0.01845030362910003i
1.3000000000000003,2200,0.9978685758371919,0.021090958955989367,-30.690731797949404,67.59865014727716,0.8581019601873638-0.5093159339407607i,0.00803759906220947+0.019499373092445756i
1.3000000000000003,2300,0.9976102471955726,0.02243755485482167,-32.06901398901973,66.04357578355547,0.845384083575726-0.5296715553495781i,0.009110583743425596+0.020504661219273065i
1.3000000000000003,2400,0.9973646312659965,0.023789997609792016,-33.44615973760406,64.41425409564344,0.8322051409198992-0.549700655927249i,0.010273981120040434+0.021457150281874865i
1.3000000000000003,2500,0.997133368442796,0.025144399439945203,-34.822229637104506,62.721902206005616,0.8185744243679449-0.5693951758074214i,0.011523925512609542+0.022348153480217185i
1.3000000000000003,2600,0.9969180313353676,0.026496952080484325,-36.19729222372328,60.976327752296605,0.8045011106208667-0.5887474197067678i,0.01285555103056378+0.023169447064098295i
1.3000000000000003,2700,0.9967201133511235,0.027843945289128383,-37.571423916541605,59.186185980467414,0.7899942347203797-0.607750025476954i,0.014263059451952024+0.023913394245360833i
1.3000000000000003,2800,0.996541016459806,0.02918178601824,-38.94470889698629,57.359182539150574,0.7750626666217372-0.6263959293417743i,0.015739803578121395+0.024573058794877464i
1.3000000000000003,2900,0.9963820382450093,0.030507017943077207,-40.31723891248713,55.50223497744585,0.759715091140835-0.6446783278737945i,0.017278384502155124+0.025142306433080484i
1.3000000000000003,3000,0.9962443584117666,0.03181634111522623,-41.689112990604166,53.62160245011875,0.7439599919094233-0.6625906368983819i,0.01887076100260049+0.025615892355004295i
1.4,500,1.0024698641584922,0.0038179324073812737,-7.082763153787343,48.21674260643107,0.9948200940290013-0.12360747979825028i,0.0025439441184588367+0.002846920474739479i
1.4,600,1.002268758671327,0.004462059556291497,-8.485482810127053,56.560337181496145,0.9912972057049408-0.14789359205232291i,0.002458855974873134+0.003723439643491346i
1.4,700,1.0020503577856383,0.005225918717042206,-9.887244728643958,62.64418396501165,0.9871674818586239-0.17206185602634125i,0.0024013880609545578+0.004641504262395648i
1.4,800,1.0018160957390077,0.006086138651079384,-11.287978018347403,66.99474333722657,0.9824367157306383-0.19609586753969507i,0.0023785578041446856+0.005602101967342686i
1.4,900,1.0015674927396265,0.007026902960250725,-12.687618736154612,70.04946568790022,0.9771112463211806-0.21997966911833247i,0.0023976407231755567+0.006605201297110528i
1.4,1000,1.001306143702009,0.008037383017982425,-14.086110123587403,72.13232326336906,0.9711979142546264-0.24369777340560925i,0.0024660276829611733+0.007649721122016241i
1.4,1100,1.00103370731033,0.009109778349653232,-15.483402779513215,73.47531720753187,0.9647040171837862-0.26723518181730616i,0.0025910794438603136+0.00873351984571028i
1.4,1200,1.000751895556527,0.01023806020612274,-16.8794547761431,74.24443193838859,0.9576372652717848-0.2905773986784918i,0.0027799812450077514+0.009853404541659658i
1.4,1300,1.0004624638632975,0.011417211129277901,-18.27423173072697,74.55996839255573,0.9500057371807833-0.313710441208157i,0.0030396001232277556+0.011005159747199537i
1.4,1400,1.0001672018559873,0.012642773340414581,-19.66770684386014,74.51075347109858,0.941817836898717-0.336620845711992i,0.0033763476165723223+0.01218359530307717i
1.4,1500,0.9998679247841841,0.013910582628201324,-21.059860917201558,74.16372524003607,0.9330822516066609-0.35929567037312704i,0.003796050353842275+0.013382612254978861i
1.4,1600,0.99956646553868,0.015216613293631961,-22.45068236086044,73.57036325411303,0.9238079106953874-0.38172249496998795i,0.004303830880774851+0.014595285536008732i
1.4,1700,0.9992646671732034,0.016556890188814975,-23.84016720122008,72.77103496294701,0.914003945956179-0.40388941783278665i,0.004904000854205541+0.015813961816901825i
1.4,1800,0.9989643757839392,0.017927441881823793,-25.228319096556994,71.79797335912134,0.9036796529022058-0.4257850502494706i,0.005599968493506789+0.017030370674119256i
1.4,1900,0.9986674335795284,0.019324279398719505,-26.61514936610756,70.67734990884907,0.8928444531473261-0.44739850846462814i,0.006394161900707878+0.018235746978594293i
1.4,2000,0.9983756719396876,0.02074339109432853,-28.000677035355878,69.43074235165025,0.8815078577485961-0.4687194033198364i,0.0072879695463406256+0.019420962231153218i
1.4,2100,0.9980909042623299,0.022180747809818515,-29.384928896506235,68.07619179539553,0.8696794314551621-0.48973782749040473i,0.008281698908821002+0.020576662425826057i
1.4,2200,0.9978149183960723,0.023632314629283047,-30.767939580892207,66.62897672259471,0.85736875784083-0.5104443402098141i,0.009374553897060565+0.021693409920262238i
1.4,2300,0.9975494684710899,0.025094066882652196,-32.14975163605566,65.10218874042623,0.8445854053759931-0.5308299492990419i,0.010564631350016597+0.022761826753344473i
1.4,2400,0.997296265973114,0.02656200885392792,-33.53041559789948,63.50716730246995,0.83133889458352-0.5508860902914207i,0.011848936551539619+0.023772736841889568i
1.4,2500,0.9970569699433953,0.028032194177339226,-34.909990045524225,61.85383256695561,0.8176386665266908-0.5706046024290022i,0.01322341735908856+0.024717304540410684i
1.4,2600,0.9968331762380754,0.029500747231157504,-36.288541624719834,60.15094359138249,0.8034940529829449-0.5899777013327967i,0.014683016210219557+0.025587167138373813i
1.4,2700,0.9966264058343288,0.030963885061502005,-37.66614502442904,58.40630101145285,0.7889142487626818-0.6089979481947914i,0.016221738964580366+0.02637455901180003i
1.4,2800,0.9964380922365282,0.03241793949994198,-39.04288289054273,56.62690787332908,0.7739082867234384-0.6276582154331801i,0.017832739245212285+0.027072425314961426i
1.4,2900,0.996269568094529,0.03385937924270938,-40.41884566113758,54.819098490112516,0.7584850161054129-0.6459516488521653i,0.019508416693579295+0.027674523316785344i
1.4,3000,0.9961220512090685,0.03528483171646961,-41.79413130878486,52.988642543403074,0.7426530848595332-0.6638716264863117i,0.021240527324391217+0.028175509724606047i
1.5,500,1.002469265654777,0.004358709730390386,-7.10308151076234,52.999407613749774,0.9947756036069308-0.12396018332873676i,0.002623172987752404+0.003480993247641535i
1.5,600,1.0022674686560757,0.005167771548745823,-8.509888970597794,60.14085964500064,0.9912328420428594-0.14831564847275328i,0.0025728753117613187+0.004481760302621716i
1.5,700,1.0020481261325151,0.0060856558591569476,-9.915748789639956,65.16048661770525,0.9870795623817468-0.1725525560921785i,0.002556450270153401+0.005522659617641114i
1.5,800,1.0018126421157176,0.007090804011477336,-11.32059050682172,68.65550374430879,0.982321553313543-0.1966543561646755i,0.002580873106919836+0.006604437563877868i
1.5,900,1.0015625052710377,0.008169707491013036,-12.724350351601098,71.04767135257333,0.9769651543117467-0.22060493925889843i,0.0026533686243162997+0.007726820525430129i
1.5,1000,1.0012992782591676,0.009313463908992653,-14.126971470423038,72.62473965868769,0.9710172127467006-0.24438866011326876i,0.0027812679399489676+0.008888484608206324i
1.5,1100,1.0010245874461023,0.010515723870360951,-15.528404093386541,73.58388187665231,0.9644850405303614-0.2679903566637924i,0.0029718625451581895+0.010087045232889807i
1.5,1200,1.000740113100236,0.01177152355961165,-16.928605649126254,74.06284403819728,0.9573763707964671-0.2913953647683138i,0.0032322584217630936+0.011319066764068214i
1.5,1300,1.0004475801734793,0.013076625551769475,-18.327540840717887,74.16026106888624,0.9496993150070223-0.3145895289900207i,0.0035692329330926976+0.0125800918951539i
1.5,1400,1.000148749720837,0.014427145590487245,-19.72518169313903,73.94861118269317,0.9414623207860353-0.33755920978152265i,0.0039890971622906215+0.01386469017753085i
1.5,1500,0.9998454109444473,0.015819341751827552,-21.12150758506455,73.48250810447404,0.932674130648407-0.36029128744102185i,0.004497566216216886+0.015166524703829119i
1.5,1600,0.9995393737995129,0.017249497617794037,-22.516505275447958,72.80408707627161,0.9233437417047549-0.38277316315304183i,0.0050996398625491185+0.016478435645976293i
1.5,1700,0.9992324620585766,0.018713861034658014,-23.910168934959135,71.94657007774066,0.9134803663429197-0.4049927573891292i,0.0057994956512668+0.017792539026665895i
1.5,1800,0.9989265066760689,0.020208616406725197,-25.30250018975315,70.9366744576765,0.9030933938187334-0.4269385058541994i,0.0066003964182422235+0.019100338850298392i
1.5,1900,0.9986233392758661,0.021729877563702316,-26.69350818243025,69.79627392203746,0.8921923526698416-0.44859935308015614i,0.007504613797627548+0.020392850479566398i
1.5,2000,0.9983247855528935,0.023273693402481532,-28.08320965277498,68.54356712937928,0.8807868738488019-0.4699647436828485i,0.008513369043632025+0.021660732954349452i
1.5,2100,0.9980326583799678,0.024836061524547218,-29.471629036382417,67.19391577590824,0.8688866545159496-0.4910246111928265i,0.009626792154519635+0.022894427812565527i
1.5,2200,0.9977487504083141,0.026412946860175063,-30.85879857751258,65.76045672394734,0.856501422469035-0.5117693643135274i,0.010843899921435354+0.024084301865163665i
1.5,2300,0.9974748259739573,0.028000303371874428,-32.24475844799709,64.25455682787135,0.8436409012805213-0.5321898703830863i,0.01216259319311934+0.02522079133841144i
1.5,2400,0.9972126121499905,0.029594097588627796,-33.629556862025396,62.686156368706385,0.8303147763006803-0.5522774357945095i,0.013579673278331863+0.026294544790488105i
1.5,2500,0.996963788826219,0.031190333153427657,-35.01325017350777,61.06403228327802,0.8165326617984351-0.5720237831131608i,0.015090877068922124+0.027296562265466486i
1.5,2600,0.9967299777520262,0.032785075828053026,-36.395902941227945,59.39600272184336,0.8023040696233941-0.5914210246645741i,0.01669093012604662+0.0282183282385512i
1.5,2700,0.9965127305312186,0.03437447857996982,-37.77758794546495,57.68908802648778,0.7876383798791211-0.6104616324161399i,0.018373616658759116+0.029051936054620763i
1.5,2800,0.9963135156280056,0.03595480648437878,-39.15838613938512,55.94963884953298,0.7725448141994318-0.6291384040706794i,0.020131865035925588+0.029790201736550944i
1.5,2900,0.9961337045026054,0.037522461251713816,-40.538386518916965,54.18343913794505,0.7570324122907444-0.6474444254044824i,0.02195784721070828+0.03042676526115708i
1.5,3000,0.9959745570586314,0.039074005242006035,-41.91768589586147,52.395789611126396,0.741110012455223-0.665373029019629i,0.02384309021635347+0.030956177648203673i
1.6,500,1.002468202980177,0.004950042585394051,-7.125103686625278,56.854315042693266,0.9947268303883466-0.12434239378369233i,0.0027065335212316643+0.00414458657717075i
1.6,600,1.0022654900617052,0.005922908334579825,-8.536340586017324,62.957599821083676,0.9911623071792958-0.14877295922191425i,0.0026928487369999596+0.005275358643682236i
1.6,700,1.0020449347733027,0.006995094515377806,-9.946640266201799,67.12080999460724,0.9869832424414539-0.17308417155992847i,0.0027196182305824815+0.006444767176473644i
1.6,800,1.0018079095015402,0.008147282069516225,-11.35593268669712,69.94582081338608,0.9821954227144486-0.19725931952288567i,0.0027937728316468095+0.007653302456156607i
1.6,900,1.0015558698782965,0.009367957677760688,-12.764154227213085,71.82225254783732,0.9768051909880124-0.22128212613436243i,0.002922483765958396+0.008900433679884651i
1.6,1000,1.0012903448009371,0.010649719977294915,-14.171247902675542,73.00370138009914,0.9708194051263433-0.24513677247959484i,0.0031130188543446917+0.010184578990183584i
1.6,1100,1.0010129268244674,0.011987310371525223,-15.577163523614553,73.65937466767589,0.9642453958139537-0.2688079171476875i,0.0033725960195347144+0.011503095497834258i
1.6,1200,1.0007252630510561,0.01337656027789518,-16.981857810328023,73.90570323737062,0.9570909244864465-0.2922807116015091i,0.0037082368738521106+0.012852289451905707i
